epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.93,2.05704,1.16747,1.86875,0.92727,0.96585,0.96985,0.69316,1.02587,66.8023,1.16342,0.000554645,0.000554645,0.000554645
2,256.392,0.99873,0.59778,1.05627,0.95888,0.97237,0.9835,0.79456,0.73199,inf,0.95839,0.00105535,0.00105535,0.00105535
3,380.786,0.82475,0.50677,0.95721,0.9648,0.97498,0.99045,0.84192,0.61394,64.48,0.89641,0.00150105,0.00150105,0.00150105
4,505.353,0.7074,0.45105,0.91058,0.96372,0.98126,0.99139,0.88584,0.47387,68.2206,0.83733,0.00141945,0.00141945,0.00141945
5,629.093,0.62374,0.40574,0.88328,0.97327,0.98525,0.99177,0.90563,0.42058,82.8106,0.81996,0.00133693,0.00133693,0.00133693
6,752.667,0.57066,0.37744,0.86732,0.97256,0.97265,0.99044,0.9073,0.4109,inf,0.81416,0.00125442,0.00125442,0.00125442
7,876.429,0.53518,0.35517,0.8567,0.977,0.98768,0.99308,0.93091,0.36185,80.1056,0.80099,0.0011719,0.0011719,0.0011719
8,999.752,0.49949,0.32791,0.84802,0.99127,0.99139,0.99419,0.93777,0.35136,10.8776,0.79544,0.00108938,0.00108938,0.00108938
9,1123.09,0.47665,0.30992,0.84091,0.98747,0.98947,0.99191,0.94305,0.33377,67.0433,0.7896,0.00100687,0.00100687,0.00100687
10,1246.57,0.45639,0.29568,0.83568,0.99239,0.9921,0.99437,0.94801,0.33068,0.49205,0.78986,0.000924352,0.000924352,0.000924352
11,1368.11,0.40437,0.26791,0.82791,0.99454,0.99521,0.99435,0.95476,0.30972,1.01886,0.78263,0.000841835,0.000841835,0.000841835
12,1488.28,0.38342,0.25539,0.82031,0.99758,0.99799,0.99434,0.96134,0.28707,0.27852,0.7762,0.000759318,0.000759318,0.000759318
13,1608.47,0.3542,0.23422,0.81239,0.9957,0.99597,0.99446,0.96549,0.28158,0.26856,0.77456,0.000676802,0.000676802,0.000676802
14,1728.18,0.3297,0.22095,0.80643,0.99803,0.99794,0.99448,0.97222,0.2609,0.41256,0.76884,0.000594286,0.000594286,0.000594286
15,1848.11,0.31346,0.21243,0.80229,0.99795,0.99789,0.99449,0.97827,0.23426,0.18754,0.76385,0.000511769,0.000511769,0.000511769
16,1967.79,0.30039,0.20639,0.79924,0.99771,0.99804,0.99446,0.97861,0.23302,0.17684,0.76321,0.000429253,0.000429253,0.000429253
17,2087.66,0.28513,0.19772,0.79635,0.99813,0.99823,0.99449,0.98237,0.2188,0.1691,0.76019,0.000346736,0.000346736,0.000346736
18,2207.51,0.26865,0.1899,0.79312,0.9982,0.99841,0.99451,0.98258,0.21259,0.16803,0.7582,0.00026422,0.00026422,0.00026422
19,2327.16,0.25379,0.18259,0.79057,0.99844,0.99851,0.99452,0.98447,0.20585,0.16371,0.75795,0.000181703,0.000181703,0.000181703
20,2446.87,0.24433,0.17822,0.78977,0.99845,0.99869,0.99454,0.98613,0.19718,0.15899,0.75633,9.91865e-05,9.91865e-05,9.91865e-05
